"","movie_id","writer_id"
"190","tt0057565","147"
"191","tt0057565","148"
"192","tt0435761","125"
"193","tt0435761","94"
"194","tt0435761","122"
"195","tt8267604","149"
"196","tt8267604","150"
"197","tt8267604","151"
"198","tt0086190","23"
"199","tt0086190","24"
"200","tt0062622","101"
"201","tt0062622","152"
"202","tt0338013","153"
"203","tt0338013","154"
"204","tt0338013","155"
"205","tt0105236","13"
"206","tt0105236","14"
"207","tt0091251","156"
"208","tt0091251","157"
"209","tt2106476","158"
"210","tt2106476","159"
"211","tt0033467","160"
"212","tt0033467","161"
"213","tt0033467","162"
"214","tt0022100","163"
"215","tt0022100","164"
"216","tt0022100","165"
"217","tt0056172","166"
"218","tt0056172","167"
"219","tt0053125","168"
"220","tt0044741","33"
"221","tt0044741","34"
"222","tt0044741","35"
"223","tt0052357","169"
"224","tt0052357","170"
"225","tt0052357","171"
"226","tt0053604","99"
"227","tt0053604","172"
"228","tt0211915","173"
"229","tt0211915","174"
"230","tt0066921","101"
"231","tt0066921","175"
"232","tt0036775","99"
"233","tt0036775","176"
"234","tt0036775","177"
"235","tt0093058","101"
"236","tt0093058","92"
"237","tt0093058","178"
"238","tt0086250","179"
"239","tt0086250","180"
"240","tt0086250","181"
"241","tt8503618","182"
"242","tt8503618","183"
"243","tt1255953","184"
"244","tt1255953","185"
"245","tt1255953","186"
"246","tt0113277","187"
"247","tt0056592","188"
"248","tt0056592","189"
"249","tt0070735","190"
"250","tt1049413","95"
"251","tt1049413","191"
"252","tt1049413","192"
"253","tt1745960","193"
"254","tt1745960","194"
"255","tt1745960","195"
"256","tt1832382","196"
"257","tt0017136","163"
"258","tt0017136","164"
"259","tt0075314","197"
"260","tt0119488","198"
"261","tt0119488","199"
"262","tt0119488","200"
"263","tt0095016","201"
"264","tt0095016","202"
"265","tt0095016","203"
"266","tt0208092","204"
"267","tt0097576","205"
"268","tt0097576","24"
"269","tt0097576","206"
"270","tt0040522","207"
"271","tt0040522","208"
"272","tt0040522","209"
"273","tt0986264","210"
"274","tt8579674","211"
"275","tt8579674","212"
"276","tt0363163","213"
"277","tt0363163","214"
"278","tt0363163","215"
"279","tt5074352","216"
"280","tt5074352","217"
"281","tt5074352","218"
"282","tt0059578","16"
"283","tt0059578","219"
"284","tt0059578","15"
"285","tt0372784","128"
"286","tt0372784","6"
"287","tt0372784","5"
"288","tt0012349","80"
"289","tt0053291","99"
"290","tt0053291","172"
"291","tt0053291","220"
"292","tt10272386","221"
"293","tt10272386","222"
"294","tt0042192","223"
"295","tt0042192","224"
"296","tt0993846","225"
"297","tt0993846","226"
"298","tt6966692","227"
"299","tt6966692","228"
"300","tt6966692","229"
"301","tt0055031","230"
"302","tt0055031","231"
"303","tt0089881","33"
"304","tt0089881","35"
"305","tt0089881","232"
"306","tt0112641","27"
"307","tt0112641","28"
"308","tt0120382","233"
"309","tt0457430","234"
"310","tt0469494","235"
"311","tt0469494","236"
"312","tt0105695","237"
"313","tt0167404","238"
"314","tt1130884","239"
"315","tt1130884","240"
"316","tt0268978","241"
"317","tt0268978","242"
"318","tt0107290","243"
"319","tt0107290","244"
"320","tt0055630","33"
"321","tt0055630","147"
"322","tt0040897","245"
"323","tt0040897","246"
"324","tt0071853","247"
"325","tt0071853","248"
"326","tt0071853","249"
"327","tt0057115","250"
"328","tt0057115","251"
"329","tt0057115","252"
"330","tt0477348","253"
"331","tt0477348","254"
"332","tt0477348","255"
"333","tt0266697","13"
"334","tt0266697","256"
"335","tt0042876","257"
"336","tt0042876","33"
"337","tt0042876","34"
"338","tt10872600","258"
