"","writer_id","name"
"125",124,"Matthew Aldrich"
"126",125,"John Lasseter"
"127",126,"Todd Phillips"
"128",127,"Scott Silver"
"129",128,"Bob Kane"
"130",129,"Randall Wallace"
"131",130,"Wolfgang Petersen"
"132",131,"Lothar G. Buchheim"
"133",132,"Neil Gaiman"
"134",133,"Harry Grey"
"135",134,"Leonardo Benvenuti"
"136",135,"Piero De Bernardi"
"137",136,"Matt Damon"
"138",137,"Ben Affleck"
"139",138,"Makoto Shinkai"
"140",139,"Clark Cheng"
"141",140,"Betty Comden"
"142",141,"Adolph Green"
"143",142,"Abhijat Joshi"
"144",143,"Rajkumar Hirani"
"145",144,"Vidhu Vinod Chopra"
"146",145,"Hubert Selby Jr."
"147",146,"Darren Aronofsky"
"148",147,"Ryuzo Kikushima"
"149",148,"Eijiro Hisaita"
"150",149,"Nadine Labaki"
"151",150,"Jihad Hojeily"
"152",151,"Michelle Keserwany"
"153",152,"Arthur C. Clarke"
"154",153,"Charlie Kaufman"
"155",154,"Michel Gondry"
"156",155,"Pierre Bismuth"
"157",156,"Ales Adamovich"
"158",157,"Elem Klimov"
"159",158,"Thomas Vinterberg"
"160",159,"Tobias Lindholm"
"161",160,"Herman J. Mankiewicz"
"162",161,"Orson Welles"
"163",162,"John Houseman"
"164",163,"Thea von Harbou"
"165",164,"Fritz Lang"
"166",165,"Egon Jacobsohn"
"167",166,"Robert Bolt"
"168",167,"Michael Wilson"
"169",168,"Ernest Lehman"
"170",169,"Alec Coppel"
"171",170,"Samuel A. Taylor"
"172",171,"Pierre Boileau"
"173",172,"I.A.L. Diamond"
"174",173,"Guillaume Laurant"
"175",174,"Jean-Pierre Jeunet"
"176",175,"Anthony Burgess"
"177",176,"Raymond Chandler"
"178",177,"James M. Cain"
"179",178,"Gustav Hasford"
"180",179,"Oliver Stone"
"181",180,"Howard Hawks"
"182",181,"Ben Hecht"
"183",182,"Lin-Manuel Miranda"
"184",183,"Ron Chernow"
"185",184,"Denis Villeneuve"
"186",185,"Wajdi Mouawad"
"187",186,"Valerie Beaugrand-Champagne"
"188",187,"Michael Mann"
"189",188,"Harper Lee"
"190",189,"Horton Foote"
"191",190,"David S. Ward"
"192",191,"Bob Peterson"
"193",192,"Tom McCarthy"
"194",193,"Jim Cash"
"195",194,"Jack Epps Jr."
"196",195,"Peter Craig"
"197",196,"Asghar Farhadi"
"198",197,"Paul Schrader"
"199",198,"James Ellroy"
"200",199,"Brian Helgeland"
"201",200,"Curtis Hanson"
"202",201,"Roderick Thorp"
"203",202,"Jeb Stuart"
"204",203,"Steven E. de Souza"
"205",204,"Guy Ritchie"
"206",205,"Jeffrey Boam"
"207",206,"Menno Meyjes"
"208",207,"Cesare Zavattini"
"209",208,"Luigi Bartolini"
"210",209,"Oreste Biancoli"
"211",210,"Amole Gupte"
"212",211,"Sam Mendes"
"213",212,"Krysty Wilson-Cairns"
"214",213,"Bernd Eichinger"
"215",214,"Joachim Fest"
"216",215,"Traudl Junge"
"217",216,"Piyush Gupta"
"218",217,"Shreyas Jain"
"219",218,"Nikhil Mehrotra"
"220",219,"Fulvio Morsella"
"221",220,"Robert Thoeren"
"222",221,"Christopher Hampton"
"223",222,"Florian Zeller"
"224",223,"Joseph L. Mankiewicz"
"225",224,"Mary Orr"
"226",225,"Terence Winter"
"227",226,"Jordan Belfort"
"228",227,"Nick Vallelonga"
"229",228,"Brian Hayes Currie"
"230",229,"Peter Farrelly"
"231",230,"Abby Mann"
